date,team,model_pct,pm_pct,kalshi_pct,consensus_pct,abs_pp,rel_pct,inserted_at,mle_pct,pool_pct,pm_bid,pm_ask,kalshi_bid,kalshi_ask
2026-06-10,Algeria,0.168,0.15,0.15,0.144,0.024,-14.3,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Argentina,10.387,8.55,8.65,8.259,2.127,-20.5,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Australia,0.012,0.15,0.15,0.144,-0.132,1099.9,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Austria,0.538,0.55,0.45,0.48,0.058,-10.8,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Belgium,2.033,1.95,2.25,2.017,0.016,-0.8,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Brazil,6.485,8.45,8.35,8.067,-1.582,24.4,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Canada,0.426,0.35,0.35,0.336,0.09,-21.1,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Cape Verde,0.004,0.1,,0.096,-0.092,2299.9,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Colombia,1.345,1.85,1.95,1.825,-0.48,35.7,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Croatia,1.745,0.85,0.95,0.864,0.88,-50.5,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Curacao,0.0,0.1,,0.096,-0.096,,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Czechia,0.202,0.25,,0.24,-0.038,18.8,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Ecuador,0.988,0.85,0.85,0.816,0.172,-17.4,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Egypt,0.098,0.25,0.15,0.192,-0.094,95.9,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,England,11.887,10.85,10.75,10.372,1.515,-12.7,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,France,15.355,16.05,16.05,15.414,-0.059,0.4,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Germany,4.538,5.25,5.55,5.186,-0.648,14.3,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Ghana,0.008,0.15,0.15,0.144,-0.136,1699.9,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Haiti,0.004,0.1,0.15,0.12,-0.116,2899.8,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Iran,0.024,0.15,0.15,0.144,-0.12,500.0,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Iraq,0.002,0.1,,0.096,-0.094,4699.7,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Ivory Coast,0.36,0.35,0.35,0.336,0.024,-6.7,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Japan,0.996,1.75,1.65,1.633,-0.636,63.8,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Jordan,0.0,0.1,,0.096,-0.096,,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Mexico,0.322,1.35,1.7,1.465,-1.142,354.6,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Morocco,1.068,1.65,1.65,1.585,-0.516,48.3,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Netherlands,4.832,4.05,4.65,4.178,0.655,-13.5,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,New Zealand,0.002,0.1,,0.096,-0.094,4699.7,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Norway,1.451,2.45,2.45,2.353,-0.902,62.2,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Panama,0.014,0.1,,0.096,-0.082,585.7,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Paraguay,0.17,0.15,0.25,0.192,-0.022,12.9,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Portugal,7.373,10.55,10.55,10.132,-2.759,37.4,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Qatar,0.0,0.1,,0.096,-0.096,,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Saudi Arabia,0.0,0.1,,0.096,-0.096,,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Scotland,0.234,0.25,0.25,0.24,-0.006,2.6,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,Senegal,1.241,0.75,0.75,0.72,0.52,-41.9,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,South Africa,0.002,0.1,,0.096,-0.094,4699.7,2026-07-23T18:54:57.881688+00:00,,,,,,
2026-06-10,South Korea,0.168,0.25,0.25,0.24,-0.072,42.8,2026-07-23T18:54:57.881688+00:00,,,,,,
